Company,Invested Capital,Revenue Per Share,Revenue_Assets,Total Assets,Total Assets Per Share,Total Equity,Total Net Income,Total Revenue,Sector
KeyCorp,,,,137698,,13998,1296,0,Financials
Lockheed Martin,13580,211.93,1.1,46521,193.14,-683,2002,51173.1,Industrials
Gannett,1372.4,38.39,1.2,2570,31.35,1017.4,6.9,3084,Consumer Discretionary
AECOM Technology,7840.2,138.02,1.3,14397,109.16,3996.1,339.4,18716.1,Industrials
Owens & Minor,1916.2,201.46,2.8,3376.3,73,1015.5,72.8,9453.64,Health Care
Morgan Stanley,,,,851733,,68871,6111,0,Financials
AK Steel Holding,1894.1,25.17,1.4,4296.1,17.78,-216,6.2,6014.54,Materials
Steel Dynamics,5733.5,41.06,1.4,6855.7,29.51,3351.6,812.7,9597.98,Materials
Tesla,4339.9,112.15,0.4,28655.4,273.31,4237.2,-1961.4,11462.16,Energy
Visteon,1030,111.85,1.4,2304,81.92,637,176,3225.6,Consumer Discretionary
Alphabet GOOGL,156471,373,0.6,197295,663.85,152502,12662,118377,Telecommunications Services
Goldman Sachs Group,,,,916776,,70390,4286,0,Financials
Whirlpool,9416,292.55,1.1,20038,275.83,4198,350,22041.8,Consumer Discretionary
Principal Financial Group,,,,253941.2,,12849.3,2310.4,0,Financials
CDW CDW,4218.4,114.72,2.2,6956.6,52.53,982.9,523,15304.52,Information Technology
Owens Corning,6572,57.42,0.7,8632,77.64,4162,289,6042.4,Industrials
Exxon Mobil,229909,57.68,0.7,348691,82.31,187688,19710,244083.7,Energy
Jones Financial,1229.1,4.02,0.1,1710.1,36.43,469.8,-101.5,171.01,Financials
Praxair,15018,39.92,0.6,20436,71.33,6018,1247,12261.6,Materials
Kimberly-Clark,8054,51.56,1.2,15151,42.79,629,2278,18181.2,Consumer Staples
PNC Financial Services Group,,,,380768,,47513,5338,0,Financials
NRG Energy,-346,45.06,0.5,23318,98.85,-346,-2153,11659,Utilities
NII Holdings,612.4,18.05,0.8,1105.1,22.94,-43.3,-301,884.08,Telecommunications Services
Paccar,16929.9,56.64,0.8,23440.2,68.23,8050.5,1675.2,18752.16,Industrials
CenturyLink,61217,32.36,0.2,75611,138.58,23491,1389,15122.2,Telecommunications Services
TravelCenters of America,885.5,167.36,3.7,1617.9,44.74,565.9,9.3,5986.23,Consumer Staples
CBS,12140,38.06,0.7,20843,57.94,1978,357,14590.1,Consumer Discretionary
Erie Insurance Group,,,,1665.9,,857.3,197,0,Financials
Core-Mark Holding,1088.7,470.12,8.8,1782.5,53.42,555.2,33.5,15686,Consumer Staples
Qualcomm,52639,15.09,0.3,65486,44.34,30746,2466,19645.8,Information Technology
Verizon Communications,160191,30.92,0.5,257143,63.08,43096,30101,128571.5,Telecommunications Services
Community Health Systems,13146,190.21,0.9,17450,216.19,-767,-2459,15705,Health Care
Estee Lauder,7956,62.54,1,11568,61.19,4384,1249,11568,Consumer Staples
BlackRock,,,,220217,,31825,4970,0,Financials
Sealed Air,3410.3,25.66,0.8,5280.3,30.36,152.3,814.9,4224.24,Materials
PPL,32036,10.94,0.2,41479,60.93,10761,1128,8295.8,Utilities
State Street Corp.,,,,238425,,19121,2177,0,Financials
J.P. Morgan Chase & Co.,,,,2533600,,229625,24441,0,Financials
Commercial Metals,2225.5,50.87,1.5,2975.1,33.12,1400.8,46.3,4462.65,Materials
Aramark ARMK,7727.5,67.4,1.3,11006.2,50.8,2459.1,373.9,14308.06,Information Technology
Becton Dickinson,31816,60.88,0.3,37734,189.97,12948,1100,11320.2,Health Care
Advanced Micro Devices,2006,6.72,1.5,3540,4.46,611,43,5310,Information Technology
Insight Enterprises,1156.6,217.11,2.5,2685.7,86.98,843.5,90.7,6714.25,Consumer Discretionary
Aflac,,,,137217,,24598,4604,0,Financials
VF,6643.2,34.52,1.2,9958.5,29.1,3719.9,614.9,11950.2,Consumer Discretionary
Global Partners,1475.4,457.63,3.8,2320.2,119.03,391,58.8,8816.76,Energy
Arrow Electronics,8241.4,303.23,1.6,16462.8,186.18,4951.5,402,26340.48,Information Technology
Prudential Financial,,,,831921,,54069,7863,0,Financials
